Batch,Company,Headquarters,Founders,Description,Sector,Website,Demo,
Summer,Cerulion,"San Francisco, CA, USA","Se Hwan Jeon, Lakshay Sharma",Open-source operating system for robots with cross-platform GUI communication.,"Robotics, Open Source, OS",https://www.cerulion.com,,founders@cerulion.com
Summer,Cheers,"San Francisco, CA, USA",Dylan Allen,"Operating system for in-person businesses, streamlining operations like Apple Store experiences for local services.","AI, Business OS, In-person Services, Automation",https://cheersreviews.com/,https://youtu.be/yfW_QonAPEE,team@cheers.reviews
Summer,ClaimSorted,"London, UK","Pavel Gertsberg, German Mikulski",Outsourced claim management solution for insurance companies.,"AI, Insurance, Claims, Outsourcing",https://claimsorted.com,,founders@claimsorted.com
Summer,Clara,"San Francisco, CA, USA","Jon Levinson, Ian Gillis",Home care marketplace connecting families with caregivers.,"AI, Healthcare, Home Care, Marketplace",https://www.clarahomecare.com/,,yc@clarahomecare.com
Summer,Clearly AI,"Seattle, WA, USA","Emily Choi-Greene, Joe Choi-Greene","Automates software security and privacy reviews with AI, ensuring compliance with industry standards.","AI, Security, Compliance, Software",https://clearly-ai.com,,
Summer,Codes Health,"New York, NY, USA","Cody Durr, Austin Mills, Alvaro Rivera","Automates patient record collection for providers, compiling documents from EHRs, faxes, and other sources.","AI, Healthcare, EHR, Automation",https://www.getcodeshealth.com/,,
Summer,CodeViz,"San Francisco, CA, USA","Liam Prevelige, Will McCall",Generates interactive codebase maps to help engineers navigate and understand complex software systems.,"AI, Developer Tools, Code Navigation, Productivity",https://www.codeviz.ai/,,liam@codeviz.ai
Summer,Comfy Deploy,"San Francisco, CA, USA","Nicholas Kao, Benny Kok",Enables developers to build and deploy workflows using Stable Diffusion and other AI models for image/video creation.,"AI, Workflow Automation, Image Generation, Video",https://www.comfydeploy.com,,founders@comfydeploy.com
Summer,Conductor Quantum,"San Francisco, CA, USA","Brandon Severin, Joel Pendleton",AI software creating qubits for semiconductor-based quantum computing.,"AI, Quantum Computing, Semiconductors",https://www.conductorquantum.com,,founders@conductorquantum.com
Summer,Conveo,"San Francisco, CA, USA","Dieter De Mesmaeker, Ben De Smet, Hendrik Van Hove",Automates the process of conducting and analyzing qualitative research using AI.,"AI, Research, Automation",https://conveo.ai/,https://www.youtube.com/watch?v=dDStJXSFuCo,hello@conveo.ai
Summer,Corgi,"San Francisco, CA, USA","Nico Laqua, Ryan McGregor, Emily Yuan","AI streamlining insurance purchasing, underwriting, support, and claims processing.","AI, Insurance, Underwriting, Claims",https://www.corgi.insure/,,contact@corgi.insure
Summer,Corpdaq,"Singapore, Singapore","Hendra Kwik, Inas Luthfi",Lending platform using LLMs to assess businesses' creditworthiness in South East Asia.,"FinTech, Lending, AI",https://corpdaq.com,,founders@corpdaq.com
Summer,Coval,"San Francisco, CA, USA",Brooke Hopkins,AI platform simulating and evaluating agents for dependable multi-modal assistants.,"AI, Agents, Simulation, Evaluation",https://coval.dev,,brooke@coval.dev
Summer,Cracked,"San Francisco, CA, USA","Kelly Lu, Anirudh Rahul",Enables users to create animations using intuitive text prompts.,"AI, Animation, Text Prompts, Creativity",https://www.cracked.so/,https://youtu.be/10lKrvFcASc,founders@cracked.so
Summer,Dataleap,"San Francisco, CA, USA","Jan Damm, Jan-Hendrik Ruettinger",AI assistant for market research with a curated database and chat-based interface.,"AI, Market Research, Analytics",https://dataleap.ai/,,jan.damm@dataleap.ai
Summer,David AI,"San Francisco, CA, USA","Tomer Cohen, Ben Wiley",Provides data for multimodal AI applications.,"AI, Data, Multimodal",https://www.withdavid.ai/,,
Summer,Decisional AI,"San Francisco, CA, USA","Sai Neeraj Kanuri, Adit Sanghvi, Dhruv Tandon","AI-powered financial analyst for private market investors, pulling data from various sources.","AI, Finance, Private Markets, Data Analysis",https://www.getdecisional.ai/,https://youtu.be/Wu_CIqBwGW8,founders@getdecisional.ai
Summer,deepsilicon,"San Francisco, CA, USA","Alexander Nanda, Abhinav Reddy",Develops software and hardware to run neural networks faster and cheaper.,"AI, Hardware, Neural Networks",https://www.deepsilicon.net/,,founders@deepsilicon.net
Summer,DeepSim,"Mountain View, CA, USA","Connor McClellan, Alexander Gabourie, Chuck Koroglu",AI-powered physics simulation platform offering ultra-scalable and fast simulations.,"AI, Physics, Simulation, Scalable Tech",https://www.deepsim.io,,contact@deepsim.com
Summer,DigitalCarbon,"San Francisco, CA, USA","Michael Nguyen, Guru Rao","AI transforming photos and videos into interactive, photorealistic 3D environments.","AI, 3D Rendering, Media, Interactive",https://www.getcarbon.co/,https://youtu.be/c2Pw63zE94I,founders@digitalcarbon.ai
Summer,Dimely,"San Francisco, CA, USA","David Pang, Peter Sun","Automates billing workflows for B2B SaaS teams, integrating with existing tech stacks for immediate results.","AI, Billing, Workflow Automation, SaaS",https://dimely.co/,https://youtu.be/R4-414M5Wmk,
Summer,Diode Computers,"New York, NY, USA","Davide Asnaghi, Lenny Khazan",Automates circuit board design and ordering process for engineers.,"Engineering, AI, Automation",https://diode.computer,https://www.youtube.com/watch?v=aOoG2gl8wdY,contact@diodecomputers.com
Summer,Distro,"New York, NY, USA",Jason Sullivan,AI co-pilot for sales reps at industrial wholesale distributors.,"AI, SalesTech, Wholesale",https://distro.app,,
Summer,dmodel,"San Francisco, CA, USA","Daniel Moon, Anish Tondwalker",Allows real-time manipulation of AI model responses without retraining the entire model.,"AI, Model Tuning, Real-Time Responses",https://www.dmodel.ai,,
Summer,Dodo,"San Francisco, CA, USA","Dominik Moehrle, Julius Hillebrand, Tim Reinhart",Automates front desk reception tasks for medical offices.,"AI, Healthcare, Reception, Automation",https://www.dodo.health/,,founders@dodo.health
Summer,Domu Technology Inc.,"San Francisco, CA, USA","Nicolas Diaz, Camila Zancanella",AI automating debt collection calls for banks using generative AI.,"AI, Debt Collection, Banks, Automation",https://www.domu.ai/,https://youtu.be/iL33XwXo77s,nicolas@domu.ai
Summer,DreamRP,"San Francisco, CA, USA","Nina Hu, Phillip Huang",Platform combining Character AI and Patreon for content creators.,"AI, Creator Tools",https://www.dreamrp.com/,,founders@dreamrp.com
Summer,Driftly,"San Francisco, CA, USA","Toby Hirsch, Victor Lin","Uses AI to optimize routes for home health clinicians, increasing productivity and reducing travel time.","AI, Healthcare, Route Optimization, Productivity",https://driftly.ai,,info@driftly.ai
Summer,Drillbit,"Austin, TX, USA","Liam Osler, Alexander Seutin","Automates administrative and operational workflows for home service businesses, focusing on quoting from job request through payment.","AI, Workflow Automation, Residential Services",http://www.drillbit.com,https://youtu.be/bTIP5pk-Ldo,contact@drillbit.com
Summer,Educato AI,"San Francisco, CA, USA","Felix Gabler, Codrut Lemeni, Pierre-Louis Monnot",AI-powered global exam-prep platform.,"AI, Education, Exam Preparation, Global Platform",https://www.educato.ai/,,founders@educato.ai
Summer,Elayne,"Denver, CO, USA","Adria Ferrier, Jacob Grafenstein",AI-powered estate planning and settlements for families.,"LegalTech, AI, Estate Planning",https://www.elayne.com/,https://www.youtube.com/watch?v=UH8_L0xEq9Q,
Summer,Elevate,"New York, NY, USA","Scott Cara, Angelica Schwartz",Financial infrastructure designed specifically for AI agents.,"AI, Finance, Infrastructure, Automation",https://www.useelevate.dev/,,hello@useelevate.dev
Summer,Ember Robotics,"San Francisco, CA, USA","Shivani Mouleeswaran, Ritika Shrivastava",Hardware observability layer for autonomous robots focusing on camera diagnostics.,"Robotics, Hardware, Diagnostics",https://emberrobotics.com,,founders@emberrobotics.com
Summer,Entangl,"San Francisco, CA, USA","Shapol M, Antanas Zilinskas","AI solution for error-free, end-to-end automation of hardware design processes.","AI, Hardware, Automation, Design",https://www.entangl.ai/,,info@entangl.ai
Summer,et al,"San Francisco, CA, USA","Marie van der Klink, Carine Fattal","Aggregates newsletters, research papers, and articles into one mobile app powered by LLMs.","AI, LLM, Content Aggregation, Mobile App",https://www.et-al.io,https://youtu.be/Xeo4__9gtMY,founders@et-al.io
Summer,Evolvere BioSciences,"Oxford, UK","Piotr Jedryszek, Weronika Slesak, Adam Winnifrith",Develops next-gen antibiotics that target harmful bacteria without harming beneficial microbes or human cells.,"AI, Biotechnology, Antibiotics, Healthcare",https://www.evolverebiosciences.com/,https://youtu.be/a9a-2xGpmS4,founders@evolverebiosciences.com
Summer,Exa Laboratories,"San Francisco, CA, USA","Elias Almqvist, Prithvi Raj",Develops energy-efficient AI chips faster and more efficient than GPUs/TPUs.,"AI, Hardware, Semiconductors",https://exalaboratories.com,,founders@exalaboratories.com
Summer,expand.ai,"San Francisco, CA, USA",Tim Suchanek,Instantly converts any website into a type-safe API for reliable integration.,"AI, API, Web Development, Integration",https://expand.ai/,,info@expand.ai
Summer,Fazeshift,"San Francisco, CA, USA","Caitlin Leksana, Timmy Galvin",AI agent automating accounts receivable processes.,"AI, Finance, Accounts Receivable, Automation",https://www.fazeshift.com/,,sales@fazeshift.com
Summer,Felafax,"San Francisco, CA, USA","Nithin Sonti, Nikhil Sonti","AI infrastructure optimized for non-NVIDIA GPUs, offering 2X cost efficiency and seamless orchestration.","AI, Infrastructure, GPUs, Cost Efficiency",https://felafax.ai,https://www.ycombinator.com/media/?type=post&id=82653&key=user_uploads/1765/d34757cd-a366-4dcb-9491-0d03f46520a7,founders@felafax.ai
Summer,Ficra,"San Francisco, CA, USA","Omar El-Sadany, Mohammed Abid","Real-time visual map of user journeys in and outside a product, offering AI-powered insights into marketing and product funnels.","AI, Marketing, User Journey, Data Analysis",https://ficra.ai/,,founders@ficra.ai
Summer,FINNY AI,"New York, NY, USA","Eden Ovadia, Theodore Janson",Machine learning to accelerate organic growth for financial advisors.,"AI, Finance, Growth, ML",https://www.finnyai.com/,,founders@finnyai.com
Summer,Finosu,"San Francisco, CA, USA","Mark Ricciardi, Gabriel Vincent Kho",AI platform that keeps lenders compliant with the latest regulations.,"AI, Compliance, FinTech",https://www.finosu.com,,mark@finosu.com
Summer,FirstWork,"San Francisco, CA, USA","Shubham Choudhary, Vardhan Kapoor","Next-gen HR platform for dynamic workforce needs, streamlining and automating HR processes.","AI, HR, Workforce, Automation",https://www.firstwork.com,,vardhan@firstwork.com.
Summer,Flyflow,"San Francisco, CA, USA","Carl Cortright, Pritee Tembhekar",AI workflow solution helping companies find prospective customers by analyzing data.,"AI, Workflow Automation, Sales, Lead Generation",https://flyflow.ai,,
Summer,Focal,"San Francisco, CA, USA","Ray Morgan, Katia Bazzi",AI-powered compliance operations for banks and fintechs.,"AI, Compliance, Fintech, Banking",https://usefocal.ai,,
Summer,Focus Buddy,"San Francisco, CA, USA","Yash Ramchandani, Adnan Sherif",AI-powered productivity coach to help individuals improve focus.,"AI, Productivity, Coaching",https://www.focusbuddy.ai/,,founders@focusbuddy.ai
Summer,Formula Insight,"New York, NY, USA","Stefan Raghavan, Will Tong",Central repository for tracking financial models and forecasting changes for investors.,"AI, Finance, Modeling, Forecasting",https://www.formulainsight.io/,,founders@formulainsight.io
Summer,Fortress,"San Francisco, CA, USA","David Chu, Will Hopkins",SaaS orchestration platform for managing multi-instance database architecture in the cloud.,"AI, SaaS, Database, Cloud Computing",https://fortress.build/,,
Summer,Freestyle,"San Francisco, CA, USA","Benjamin Swerdlow, Jacob Zwang",TypeScript native cloud development platform.,"Cloud Development, TypeScript, Software Development",https://www.freestyle.sh/,,
Summer,Fuse,"London, UK","Sho Sugihara, Oscar Wilsby",AI analyzing contracts and payments for healthcare providers to detect underpayments and boost revenue.,"AI, Healthcare, Contracts, Payments",http://www.fuseinsight.com,,founders@fuseinsight.com
Summer,Gauge,"San Francisco, CA, USA","Caelean Barnes, Evan Doyle","Open-source tools to address microservices vs. monolith dilemma, enabling modular monoliths.","AI, Software Development, Open-Source, Architecture",https://gauge.sh,,
Summer,Genie,"Lake Oswego, OR, USA","Asa Miller, Darius ""Bubs"" Monsef",Conversational AI sidekick designed for kids.,"AI, Conversational AI, Kids, Education",http://www.genie.gg,,contact@genie.com
Summer,Glasskube,"Vienna, Austria","Louis Weston, Philip Miglinci","Next-gen package manager for Kubernetes featuring GUI, CLI, GitOps readiness, and auto-updates.","AI, Kubernetes, Package Manager, Automation",https://glasskube.dev/,https://youtu.be/aIeTHGWsG2c,
Summer,Guardian AI,"New York, NY, USA","Mayank Jain, Pranav Pillai",AI platform to automate insurance claim denials management for healthcare providers.,"AI, HealthTech, InsurTech",https://www.withguardian.ai/,,founders@withguardian.ai
Summer,Guardian RF,"San Francisco, CA, USA","John Andrzejewski, Eli Kerstein, Lucas Raskin",Drone detection and signal intelligence for U.S. defense.,"DefenseTech, DroneTech, Signal Intelligence",https://guardianrf.com,,
Summer,Hamming AI,"San Francisco, CA, USA","Marius Buleandra, Sumanyu Sharma",Automates testing for AI voice agents.,"AI, Voice Agents, Testing, Automation",https://hamming.ai/,,sumanyu@hamming.ai
Summer,Haystack Software,"San Francisco, CA, USA","Jake Yatvitskiy, Akshay Subramaniam",Code editor with 2D navigation and a copilot to assist engineers.,"DevTools, AI, Productivity",https://haystackeditor.com/,https://www.youtube.com/watch?v=c2uZnR5D_cc,
Summer,Helium,"San Francisco, CA, USA","Zach Witzel, Anish Doshi, Shishir Jakati",No-code platform for mobile companies to personalize upsell flows and paywall experiences using AI.,"AI, No-Code, MobileTech",https://tryhelium.com,,founders@tryhelium.com
Summer,Henry,"New York, NY, USA","Sammy Greenwall, Adam Pratt","AI copilot for commercial real estate brokers, integrating internal and external data for presentations and financial modeling.","AI, Real Estate, Financial Modeling, Brokers",http://www.henry.ai,https://www.youtube.com/watch?v=jZm40bj5mL0,sammy@henry.ai
Summer,Hestus,"San Francisco, CA, USA","Sohrab Haghighat, Kevin Chu",AI-powered CAD software automating mundane design processes for hardware development.,"AI, CAD, Hardware Development, Automation",https://www.hestus.co,,
Summer,Hey Revia,"San Francisco, CA, USA","Shaun Wei, David (Wenbo) Zhu",AI-powered call assistant for healthcare providers.,"AI, Healthcare, Call Assistant, Automation",https://heyrevia.ai,https://youtu.be/evyXgLBaphQ,founders@heyrevia.ai
Summer,Honeycomb,"San Francisco, CA, USA","Ishank Agrawal, Andrew Liu",Software debugging tool to solve problems faster within distributed services.,"AI, Debugging, Distributed Systems, Software Development",https://honeycomb.sh/,https://youtu.be/d1GbrDuLug4,
Summer,ideate.xyz,"San Francisco, CA, USA","Jasper Jia, Elliott Thompson",AI design co-pilot for content creators.,"AI, Design, Content Creation, Productivity",https://ideate.xyz,,founders@ideate.xyz
Summer,Intryc,"San Francisco, CA, USA","Alex Marantelos, Dimitrios Ilias",AI tool for automating quality assurance in customer support.,"AI, QA, Customer Support",https://www.intryc.com,https://www.youtube.com/watch?v=eqIx1bnzEGk,alex@intryc.com
Summer,Ionworks,"San Francisco, CA, USA","Valentin Sulzer, Rob Timms",Accelerates battery R&D through virtual prototyping combining software and electrochemical modeling.,"CleanTech, Energy, R&D",https://www.ionworks.com,,info@ionworks.com
Summer,Kairo Health,"New York, NY, USA","Jake Goldman, Ajay Vasisht",AI agents delivering patient care at lower costs.,"HealthTech, AI, Automation",https://trykairo.com/,https://www.youtube.com/watch?v=YWggFP3CRAo,founders@trykairo.com
Summer,Kart AI,"San Francisco, CA, USA","Gordon Chi, Rez Havaei",Builds customized AI shopping assistants for e-commerce brands to improve product discovery and customer experience.,"AI, E-commerce, Shopping Assistant, Customer Experience",https://kart.ai,,founders@kart.ai
Summer,Kastle,"San Francisco, CA, USA","Rishi Choudhary, Nitish Poddar","Managed security solutions, including access control and video surveillance, for over 10,000 companies globally.","AI, Security, Surveillance",https://kastle.ai/,https://youtu.be/iOe4LQuf7u8,rishi@kastle.ai
Summer,Keet,"San Francisco, CA, USA","Zack Ashen, Tommy Tsai",Provides APIs to connect and manage customer accounts across websites.,"API, DevTools, Automation",https://trykeet.com,,
Summer,Kontigo,"San Francisco, CA, USA","Jesus Alberto Castillo Ferrer, Gino Guatavita",USDC-smart neobank designed for Latinos in the U.S. and Latin America.,"FinTech, Neobank, Latino Market",https://kontigo.lat/,,founders@kontigo.lat
Summer,Kopra Bio,"San Francisco, CA, USA","Andrew Bartynski, Alexander Haddad",Develops genetically engineered viruses to train the immune system to target and kill cancer cells.,"AI, Biotechnology, Healthcare, Cancer Research",https://kopra.bio,,founders@kopra.bio
Summer,Kura,"San Francisco, CA, USA","Mark Dawson, Trevor Reed",AI-driven incident response and cloud optimization tool integrated with services like AWS.,"AI, Cloud Optimization, Incident Response, AWS",https://www.usekura.com,,founders@usekura.com
Summer,Laminar AI,"San Francisco, CA, USA","Robert Kim, Din Mailibay, Temirlan Myrzakhmetov",Open-source developer platform for LLM applications with event-based analytics.,"AI, Open Source, DevTools",https://www.lmnr.ai/,,
Summer,LedgerUp,"San Francisco, CA, USA","Joseph Johnson, Bailey Spell","Automates back-office finance tasks, including bookkeeping and reporting, with integrations into email and Slack.","AI, Finance, Automation, Reporting",https://ledgerup.ai/,,joe@ledgerup.ai
Summer,Lighthouz AI,"San Francisco, CA, USA","Srijan Kumar, Sonali Pattnaik","AI assistants for procurement teams handling supplier communication, contract negotiations, and more.","AI, Procurement, Automation, Enterprise Software",https://lighthouz.ai/,,srijan@lighthouz.ai
Summer,Ligo Biosciences,"San Francisco, CA, USA","Emily Egerton-Warburton, Arda Goreci, Edward Harris",Uses deep learning to design novel enzymes for cheaper and more sustainable chemical manufacturing.,"AI, Deep Learning, Enzymes, Chemical Manufacturing",https://www.ligo.bio,https://youtu.be/_V758AisYS8,ed@ligo.bio
Summer,Lilac Labs,"San Francisco, CA, USA","Tony Kam, Shelden Shi",Automates order-taking at drive-thrus using voice AI.,"AI, Automation, FoodTech",https://www.drive-thru.ai/,,tony@lilaclabs.ai
Summer,Lumen Orbit,"Redmond, WA, USA","Ezra Feilden, Philip Johnston, Adi Oltean",Builds sustainable data centers in space using solar energy and passive cooling.,"SpaceTech, Data Centers, Sustainability",https://www.lumenorbit.com/,,info@lumenorbit.com
Summer,Lumenary,"San Francisco, CA, USA","Vivek Hazari, Daniel DiPietro, Ziray Hao",Automates healthcare quality reporting processes using AI to ensure accuracy and compliance.,"AI, Healthcare, Reporting, Compliance",https://lumenary.com,,info@lumenary.com
Summer,MagiCode,"Stanford, CA, USA","Jeff He, Anirudh Sriram",AI pair programmer that anticipates developer actions and assists in real-time coding processes.,"AI, Developer Tools, Programming, Productivity",https://www.magicode.ai/,https://www.youtube.com/watch?v=EPM_eOL8BRE,hello@magicode.ai
Summer,Maitai,"San Francisco, CA, USA","Christian DalSanto, Ian Hoegen","AI tool to build reliable AI applications with LLM load balancing, autocorrecting outputs, and creating app-specific models.","AI, LLM, Load Balancing, Application Development",https://trymaitai.ai,,founders@trymaitai.ai
Summer,Manaflow,"San Francisco, CA, USA","Lawrence Chen, Wesley Tjangnaka, Austin Wang","Automates workflows for operation managers, focusing on data analysis and business actions using AI.","AI, Workflow Automation, Operations",https://manaflow.ai,https://www.youtube.com/watch?v=9GsBHG3zm_I,
Summer,mdhub,"San Francisco, CA, USA","Dominik Middelmann, Efren A. Lamolda",AI assistants helping mental health clinics streamline operations.,"AI, Healthcare, Mental Health, Operations",https://mdhub.ai,,founders@mdhub.ai
Summer,Melty,"San Francisco, CA, USA","Jackson de Campos, Charlie Holtz",Open-source AI-powered chat-based code editor that supports developers from terminal to GitHub.,"DevTools, AI, Open Source",https://melty.sh,https://www.loom.com/share/f0e7ae2644e6492ab9e9352fbd14ae8d?sid=b5d497cd-65f4-47ca-955a-73332d8edc4d,founders@melty.sh
Summer,Mem0,"San Francisco, CA, USA","Taranjeet Singh, Deshraj Yadav","Memory layer for LLM applications, enabling retention of interactions over time.","AI, LLM, Memory, Applications",https://mem0.ai/,https://youtu.be/VtRuBCTZL1o,taranjeet@mem0.ai
Summer,Merlin AI,"Los Angeles, CA, USA","Ayantika Dey, Sneha Kumari, Kumar Siddhartha",AI-powered ERP system for the construction industry.,"AI, ERP, Construction",https://www.merlinai.co,https://www.youtube.com/watch?v=hsk_ZvI40JI,snehak@merlinai.co
Summer,Merse,"San Francisco, CA, USA","Mark Rachapoom, Kumar Abhirup",AI-powered medium for creating interactive visual stories such as comics with added voices and sound effects.,"AI, Comics, Media, Interactive Stories",https://merse.co,https://www.youtube.com/watch?v=uidjDsilxms,hey@merse.co
Summer,Mica AI,"San Francisco, CA, USA","Achyuta Iyengar, Bharadwaj Swaminathan, Jai Yarlagadda","AI agents that automate B2B sales calls, generate collateral, and follow up with customers.","AI, B2B Sales, Automation, Lead Generation",https://usemica.com/,https://www.youtube.com/watch?v=xIHwwnYKj5o,
Summer,Midship,"San Francisco, CA, USA","Aahel Iyer, Max Maio, Kieran Taylor","Automates data entry, extraction, search, and analysis from various document types.","Automation, Data Processing, AI",https://midship.ai/,,founders@midship.ai
Summer,Mindely,"San Francisco, CA, USA","Joseph Thalinjan, Sasha Collin, Alix Maurin, Cl?ment Nguyen",AI interviewer for conducting complex business interviews.,"AI, HRTech, Interviews",http://www.mindely.ai,https://www.youtube.com/watch?v=78dbwGMfCyo,founders@mindely.ai
Summer,Mineflow,"San Francisco, CA, USA",Ryan Goggins,AI-powered tool for predicting the shape and location of mineral deposits.,"AI, Mining, Geology",http://mineflow.ai/,,
Summer,MinusX,"San Francisco, CA, USA","Vivek Aithal, Sreejith Puthanpurayil, Arpit Saxena",Chrome extension that automates data analysis tasks in Jupyter and Metabase by operating apps via clicking and typing.,"AI, Automation, Data Analysis, Extensions",https://minusx.ai,https://youtu.be/lcO9XGofW40,vivek@minusx.ai
Summer,Miru,"San Francisco, CA, USA","Vedant Nair, Benjamin Smidt, Armel Talla",Automates software deployment and management for robots and IoT devices at scale.,"AI, Robotics, IoT, Software Deployment",https://www.miruml.com/,https://youtu.be/N0N6R5Gtjx4,
Summer,Mito Health,"San Francisco, CA, USA","Teeming Chew, Joel Kek, Kenneth Lou, Ryan Ware",AI-powered concierge doctor offering personalized health plans based on biomarker analysis.,"AI, Healthcare, Concierge Medicine, Biomarker Analysis",https://mitohealth.com/,,
Summer,Modern Realty,"San Francisco, CA, USA","Raffi Isanians, Raymond Xu",AI-driven real estate platform for buying homes without a realtor.,"PropTech, AI, Real Estate",https://modernrealty.io,,
Summer,Modus,"New York, NY, USA",Lin Ling,AI solution for optimizing workforce costs during company scaling.,"AI, Workforce Management, Cost Optimization",https://himodus.com,,lin@himodus.com
Summer,Moonglow,"San Francisco, CA, USA","Leila Clark, Trevor Chow",Connects local Jupyter notebooks to remote cloud compute environments.,"AI, Cloud Computing, Jupyter, Remote Work",https://moonglow.ai,,trevor@moonglow.ai
Summer,Moreta,"San Francisco, CA, USA","Walid Mahd, Sam Yu",Simplifies payments for international travelers using a secure QR code wallet.,"FinTech, Payments, TravelTech",https://moretapay.com,,
Summer,NetworkOcean,"San Francisco, CA, USA","Eric Kim, Sam Mendel",Builds and operates underwater data centers to enhance power efficiency.,"AI, Data Centers, Underwater, Energy Efficiency",https://networkocean.io/,,founders@networkocean.io
Summer,Neuralize,"San Francisco, CA, USA","Ivan Chan, Ciar?n O' Rourke, Ismail Salim","Provides a single interface for model compression, benchmarking, and performance optimization for different end-user devices.","AI, Model Compression, Benchmarking, Performance Optimization",https://runlocal.ai,,founders@runlocal.ai
Summer,Odo,"New York, NY, USA","Yooni Ahn, Andrew Wagner",AI platform to assist companies in winning government contracts.,"AI, GovTech, Compliance",https://www.odo.do/,,founders@odo.do
Summer,Offstream,"San Francisco, CA, USA","Varsha, Zach",Supports carbon project developers by optimizing workflows and unlocking new revenue through carbon markets and compliance schemes.,"AI, Carbon Projects, Compliance, Revenue Optimization",https://www.useoffstream.com/,https://youtu.be/YrXj7POfO30,hello@useoffstream.com
Summer,Olive Legal,"San Francisco, CA, USA","Sam Damashek, Greg Volynsky",Summarizes client medical records for personal injury lawyers using AI.,"AI, LegalTech, Medical Records",https://olive.legal,,
Summer,omnidock,"Berlin, Germany","Christian Kohrs, Sebastian R?dling, Shayan Zakerzadeh","OS for global e-commerce expansion, managing marketplace sales and transactions.","eCommerce, Logistics, Global Expansion",https://www.omnidock.com,,founders@omnidock.com
Summer,Ontra Mobility,"New York, NY, USA","Anthony Trasatti, Connor Riley",Data-driven planning and real-time optimization to increase transit agency ridership.,"AI, Transit, Data Analytics, Optimization",https://www.ontramobility.com,https://www.youtube.com/watch?v=B-RyHtEurVk,founders@ontramobility.com
Summer,Opslane,"San Francisco, CA, USA","Abhishek Ray, Amaresh Ray",Open-source tool to improve on-call processes and learn from incidents.,"DevOps, AI, Open Source",https://opslane.com,,founders@opslane.com
Summer,OrgOrg,"Los Altos, CA, USA",Wayne Crosby,Suite of apps keeping teams productive and healthy.,"AI, Productivity, Team Management, Health",https://orgorg.us,,wayne@orgorg.us
Summer,Outerport,"San Francisco, CA, USA","Towaki Takikawa, Allen Wang","Rust-based registry for model weights, enabling companies to deploy AI models on their infrastructure with hot swaps and optimize GPU utilization.","DevTools, Infrastructure, AI Models",https://www.outerport.com/,https://www.youtube.com/watch?v=YoA2elVvo_o,founders@outerport.com
Summer,Overlap,"San Francisco, CA, USA","Jonathan Baer, Buzz Rubenstein, Casey Traina",AI-powered tool to analyze and search through video and audio content.,"AI, Search, Video, Audio Analysis",https://www.joinoverlap.com/,https://www.youtube.com/watch?v=I6zmakEoXKU&ab_channel=JonathanBaer,founders@capitol.ai
Summer,Overstand Labs,"Brooklyn, NY, USA","Senta Knuth, Mihir Patil",Helps enterprise software teams identify contract expansion opportunities by analyzing customer communications.,"AI, Sales, Communication, SaaS",https://overstandlabs.com,,founders@overstandlabs.com
Summer,Oway,"San Francisco, CA, USA",Phillip Nadjafov,Ridesharing freight solution using ML to reduce SMB shipping costs by 50%.,"Logistics, AI, Transportation",https://www.oway.io,,
Summer,Paasa,"San Francisco, CA, USA","Nitish Sahni, Sparsh Sharma",Provides high-net-worth individuals in emerging markets globally diversified portfolios.,"FinTech, Wealth Management, Emerging Markets",https://paasa.com,,founders@paasa.co
Summer,Palmier,"San Francisco, CA, USA","Marcos Rico Peng, Harrison Tin",AI-powered GitHub alternative that automates the creation of concise descriptions for code changes.,"AI, DevTools, Open Source",https://palmier.io,,founders@palmier.io
Summer,Panora,"San Francisco, CA, USA","Rachid Flih, Nael Ould Belkacem",Data integration API for connecting enterprise data tools seamlessly.,"API, Data Integration, Enterprise Software",https://panora.dev/,,
Summer,pap!,"Berkeley, CA, USA","Kamal Nahas, Anthony Rassi, Weijie Wang","Automates refunds for consumers when shopping, flying, traveling, and more.","FinTech, Automation, ConsumerTech",https://joinpap.com/,,founders@joinpap.com
Summer,Parahelp,"San Francisco, CA, USA","Anker Ryhl, Mads Liechti",AI support agent that resolves customer support tickets end-to-end by leveraging knowledge and tools.,"AI, Customer Support, Automation, End-to-End Solutions",https://parahelp.com/,,
Summer,Parity,"San Francisco, CA, USA","Coleman Smith, Wilson Spearman, Jeffrey Tsaw",World's first AI-powered Site Reliability Engineer (SRE) improving system reliability.,"AI, SRE, System Reliability, Automation",https://tryparity.com,,founders@tryparity.com
Summer,Parley,"San Francisco, CA, USA","Ian Edwards, Jackson Perry, Philip Smart",AI tool that helps immigration lawyers write visa applications faster.,"AI, LegalTech, Immigration",https://parley.so,,founders@parley.so
Summer,Passage,"San Francisco, CA, USA","Terrell Marshall, Aditya Nadkarni",AI copilot assisting businesses in customs clearance for imported goods.,"AI, Customs, Imports, Business Automation",https://www.trypassage.com/,,
Summer,Patched,"San Francisco, CA, USA","Rohan S, Asankhaya Sharma","AI-assisted workflows for post-code tasks like documentation, code reviews, and security patching.","AI, Workflow Automation, Code Reviews, Security",https://patched.codes,,contact@patched.codes
Summer,Patchwork Technologies,"San Francisco, CA, USA","Ben Hall, Sam Kramer, Alex Maass",AI-powered logging and observability platform automating structured logging to improve reliability.,"AI, Logging, Observability, Automation",https://getpatchwork.io,https://youtu.be/70Pnfu8HHHQ,founders@getpatchwork.io
